,15˚C,20˚C,25˚C,no FUdR at 20˚C,with FUdR at 20˚C,no manipulation at 15˚C,with any manipulation at 15˚C,no manipulation at 20˚C,with manipulation at 20˚C,no manipulation at 25˚C,with manipulation at 25˚C,Everyday manipulation at 20˚C,Every 2-3 day manipulation at 20˚C,no manipulation no FUdR at 20˚C,no manipulation with FUdR at 20˚C,with manipulation no FUdR at 20˚C,with manipulation with FUdR at 20˚C,USA,China,Germany,Rep. of Korea,Japan,CA,MA,NY,WA,TX,MI
0,30.7,21.9,13.6,21.9,16.88,29.89,,14.28,15.0,14.0,13.5,11.66,14.3,14.28,17.5,14.28,17.5,21.9,15.47,18.0,12.3,16.5,14.5,20.44,17.18,26.1,17.05,14.8
1,20.3,19.0,13.3,19.0,17.5,26.65,,14.8,12.3,13.38,14.24,15.57,18.4,14.8,14.31,14.8,14.31,14.8,14.1,21.6,13.5,22.0,13.0,13.6,17.0,22.1,18.4,18.4
2,29.89,15.47,19.7,15.47,14.31,11.0,,13.0,14.1,11.5,17.3,16.5,18.98,13.0,20.7,13.0,20.7,14.5,14.3,18.3175,21.0,14.5,19.6,17.0,14.24,24.2,15.0,18.98
3,26.65,18.0,19.49,18.0,20.7,17.52,,17.18,13.5,11.56,13.66,18.4,16.7,17.18,20.03,17.18,20.03,16.58,20.13,21.8,21.6,22.5,21.699,12.0,13.2,21.1,13.31,21.48
4,36.21,15.0,14.0,15.0,18.03,34.2,,17.0,21.0,12.56,20.23,16.8,16.7,17.0,19.96,17.0,19.96,13.0,16.94,17.11,16.52,11.1,18.0,18.1,16.96,13.0,17.0,20.47
5,11.0,14.28,20.23,14.28,17.23,,,19.7,8.32,15.2,20.0,16.0,15.6,19.7,15.59,19.7,15.59,17.18,8.32,21.1,11.76,11.7,15.08,19.2,11.02,17.4,21.7,18.98
6,17.52,12.3,20.0,12.3,24.9,,,22.3,20.524,15.8,15.67,12.0,14.8,22.3,14.09,22.3,14.09,17.05,15.61,20.524,18.46,19.6,18.7,18.2,18.18,,18.0,18.07
7,20.0,11.66,15.67,11.66,20.03,,,21.48,17.05,10.59,12.8,10.0,13.89,21.48,21.9,21.48,21.9,22.91,17.5,15.57,11.8,22.7,19.79,18.9,16.0,,17.57,12.7
8,34.2,14.1,13.38,14.1,17.64,,,20.47,21.699,14.38,17.33,11.85,13.7,20.47,16.98,20.47,16.98,18.4,17.23,20.7,20.13,23.2,16.7,13.8,12.0,,12.18,19.5
9,,14.28,11.5,14.28,19.96,,,18.98,11.76,15.11,15.4,10.58,16.56,18.98,19.0,18.98,19.0,19.6,19.7,15.92,15.71,28.9,16.7,17.8,10.0,,11.0,17.0
10,,13.5,11.56,13.5,17.3,,,15.91,22.0,16.1,19.7,9.05,29.4,15.91,18.3,15.91,18.3,21.699,15.91,22.6,9.5,26.9,18.7,17.6,11.85,,,15.59
11,,21.0,12.56,21.0,17.3,,,16.2,11.8,19.1,19.49,7.56,15.9,16.2,7.3,16.2,7.3,18.4,20.0,24.1,14.9,20.6,18.3,19.3,10.58,,,21.1
12,,21.6,11.83,21.6,16.497,,,14.6,15.08,12.41,,14.25,18.4,14.6,13.5,14.6,13.5,18.98,18.0,17.7,18.3,15.12,17.9,16.8,9.05,,,
13,,18.3175,14.1,18.3175,13.89,,,20.44,12.4,7.0,,23.0,17.83,20.44,21.1,20.44,21.1,18.7,15.7,19.0,17.9,20.0,19.6,29.4,7.56,,,
14,,14.8,12.8,14.8,28.9,,,15.82,11.1,8.75,,21.3,12.65,15.82,18.78,15.82,18.78,21.48,16.0,22.3,19.3,20.0,21.5,15.9,16.6,,,
15,,21.8,17.33,21.8,15.59,,,18.7,11.7,,,14.33,12.156,18.7,21.7,18.7,21.7,20.47,20.0,22.53,13.8,16.3,18.736,,17.23,,,
16,,14.3,15.2,14.3,14.09,,,15.0,18.736,,,17.0,,15.0,18.8,15.0,18.8,18.98,18.4,13.66,18.3,14.63,18.59,,24.9,,,
17,,21.6,15.8,21.6,21.9,,,17.0,18.59,,,15.3,,17.0,18.1,17.0,18.1,15.2,16.6,18.7,21.0,18.9,19.5,,17.78,,,
18,,20.13,10.59,20.13,16.98,,,18.0,16.4,,,13.4,,18.0,20.6,18.0,20.6,18.0,16.71,16.8,20.7,34.8,19.9,,20.91,,,
19,,17.11,14.09,17.11,26.9,,,21.2,16.2,,,20.8,,21.2,15.12,21.2,15.12,20.44,24.0,19.0,19.7,20.84,15.8,,11.58,,,
20,,21.1,14.38,21.1,19.0,,,19.79,15.8,,,11.1,,19.79,18.2,19.79,18.2,15.08,9.13,22.1,15.96,31.5,14.33,,14.3,,,
21,,16.52,15.11,16.52,18.3,,,13.31,18.4,,,9.13,,13.31,17.0,13.31,17.0,18.7,9.13,24.0,12.65,29.8,15.0,,15.1,,,
22,,15.93,16.1,15.93,7.3,,,13.2,16.36,,,9.13,,13.2,20.0,13.2,20.0,15.0,9.33,24.0,16.3,,20.7,,,,,
23,,14.5,13.5,14.5,13.5,,,13.66,19.6,,,9.33,,13.66,13.8,13.66,13.8,17.0,10.78,24.0,,,18.02,,,,,
24,,16.58,14.24,16.58,19.018,,,17.2,13.6,,,10.78,,17.2,18.1,17.2,18.1,18.0,8.36,14.25,,,15.1,,,,,
25,,13.0,14.4,13.0,17.9,,,15.9,21.33,,,8.36,,15.9,20.0,15.9,20.0,15.9,7.64,15.3,,,16.6,,,,,
26,,16.94,15.4,16.94,19.3,,,15.9,19.4,,,7.64,,15.9,15.4,15.9,15.4,16.2,18.06,20.8,,,16.9,,,,,
27,,17.18,19.1,17.18,16.34,,,15.9,24.0,,,19.5,,15.9,15.1,15.9,15.1,19.79,17.18,18.7,,,14.8,,,,,
28,,17.2,12.41,17.2,17.0,,,15.9,14.4,,,17.0,,15.9,18.3,15.9,18.3,13.31,20.13,16.7,,,17.5,,,,,
29,,8.32,7.0,8.32,13.7,,,26.1,16.8,,,16.9,,26.1,20.6,26.1,20.6,16.7,18.0,20.9,,,19.0,,,,,
30,,20.524,8.75,20.524,21.1,,,18.7,9.5,,,14.9,,18.7,19.76,18.7,19.76,16.7,18.03,17.39,,,17.2,,,,,
