,% Alive on Day3,% Alive on Day5,% Alive on Day10,% Alive on Day15,% Alive on Day20,% Alive on Day25,% Alive on Day30,% Alive on Day40,% Alive on Day50,Reported mean lifespan
0,100.0,100.0,100.0,80.0,20.0,0.0,0.0,0.0,0.0,17.78
1,100.0,100.0,100.0,98.0,95.0,55.0,10.0,0.0,0.0,-1.0
2,100.0,100.0,100.0,90.0,40.0,5.0,0.0,0.0,0.0,-1.0
3,100.0,100.0,95.0,25.0,0.0,0.0,0.0,0.0,0.0,14.3
4,100.0,100.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,15.1
5,100.0,95.0,55.0,25.0,10.0,5.0,0.0,0.0,0.0,13.0
6,100.0,100.0,100.0,90.0,50.0,15.0,0.0,0.0,0.0,21.32
7,100.0,100.0,98.0,47.0,12.0,0.0,0.0,0.0,0.0,-1.0
8,100.0,100.0,90.0,50.0,10.0,0.0,0.0,0.0,0.0,15.3
9,100.0,100.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.0
10,100.0,100.0,100.0,100.0,95.0,45.0,10.0,0.0,0.0,-1.0
11,100.0,98.0,92.0,50.0,27.0,10.0,0.0,0.0,0.0,-1.0
12,100.0,98.0,95.0,80.0,55.0,8.0,2.0,0.0,0.0,20.0
13,100.0,100.0,100.0,65.0,33.0,0.0,0.0,0.0,0.0,16.88
14,100.0,100.0,90.0,80.0,55.0,20.0,5.0,0.0,0.0,19.96
15,95.0,90.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,-1.0
16,100.0,90.0,65.0,20.0,0.0,0.0,0.0,0.0,0.0,19.0
17,100.0,100.0,97.0,73.0,13.0,0.0,0.0,0.0,0.0,-1.0
18,100.0,100.0,100.0,95.0,45.0,10.0,0.0,0.0,0.0,20.56
19,100.0,100.0,100.0,75.0,50.0,25.0,10.0,0.0,0.0,-1.0
