,15C,20C,25C
0,20.0,21.9,15.2
1,20.3,17.5,15.11
2,34.2,20.7,13.3
3,36.21,17.23,14.4
4,11.0,24.9,14.0
5,17.52,15.59,19.1
6,30.7,14.8,12.56
7,29.89,14.5,17.0
8,26.65,13.5,15.9
9,,16.58,11.83
10,,13.0,14.1
11,,17.0,13.66
12,,17.18,11.5
13,,21.1,12.41
14,,21.7,14.09
15,,17.05,13.5
16,,22.91,14.24
17,,18.1,15.4
18,,18.4,10.59
19,,19.6,7.0
20,,19.2,8.75
21,,21.699,20.23
22,,19.0,20.0
23,,18.2,15.67
24,,18.4,13.6
25,,18.98,13.38
26,,17.78,17.3
27,,18.7,12.8
28,,18.9,19.7
29,,17.2,19.49
30,,18.1,15.8
31,,21.48,14.38
32,,20.47,16.1
33,,18.98,11.56
34,,15.2,17.33
35,,18.0,
36,,20.44,
37,,15.08,
38,,18.7,
39,,15.0,
40,,17.3,
41,,21.5,
42,,17.0,
43,,18.0,
44,,13.8,
45,,15.9,
46,,16.2,
47,,19.79,
48,,13.31,
49,,16.7,
50,,16.7,
51,,14.24,
52,,13.2,
53,,20.56,
54,,21.1,
55,,12.3,
56,,12.4,
57,,15.9,
58,,15.9,
59,,15.9,
60,,15.9,
61,,26.1,
62,,18.7,
63,,18.3,
64,,17.9,
65,,20.91,
66,,11.58,
67,,19.33,
68,,18.3,
69,,19.6,
70,,21.5,
71,,18.0,
72,,17.76,
73,,16.96,
74,,11.02,
75,,18.18,
76,,18.736,
77,,10.87,
78,,22.1,
79,,16.0,
80,,12.0,
81,,10.0,
82,,11.85,
83,,10.58,
84,,9.05,
85,,7.56,
86,,18.59,
87,,17.8,
88,,19.6,
89,,28.65,
90,,11.4,
91,,19.5,
92,,19.9,
93,,16.4,
94,,16.2,
95,,15.8,
96,,16.4,
97,,19.2,
98,,19.2,
99,,17.6,
100,,19.3,
101,,20.1,
102,,14.3,
103,,15.1,
104,,14.33,
105,,14.0,
106,,16.8,
107,,15.0,
108,,19.0,
109,,23.2,
110,,29.4,
111,,24.2,
112,,13.0,
113,,20.7,
114,,15.9,
115,,18.4,
116,,18.07,
117,,13.6,
118,,12.7,
119,,14.95,
120,,18.02,
121,,13.4,
122,,21.32,
123,,17.57,
124,,31.6,
125,,14.4,
126,,12.18,
127,,11.0,
128,,15.1,
129,,15.3,
130,,12.7,
131,,14.8,
132,,17.0,
133,,15.2,
134,,19.6,
135,,19.5,
136,,17.0,
137,,16.6,
138,,16.9,
139,,16.6,
140,,13.78,
141,,17.2,
142,,12.0,
143,,26.9,
144,,27.5,
145,,14.8,
146,,21.0,
147,,13.2,
148,,17.4,
149,,16.0,
150,,15.93,
151,,22.0,
152,,20.41,
153,,23.0,
154,,21.3,
155,,16.36,
156,,14.31,
157,,25.0,
158,,18.8,
159,,14.28,
160,,14.28,
161,,7.3,
162,,14.28,
163,,14.28,
164,,20.41,
165,,21.44,
166,,18.6,
167,,14.4,
168,,20.85,
169,,15.4,
170,,22.01,
171,,19.0,
172,,15.0,
173,,14.3,
174,,18.0,
175,,15.0,
176,,20.7,
177,,21.9,
178,,14.3,
179,,18.64,
180,,18.656,
181,,12.3,
182,,13.5,
183,,21.0,
184,,21.6,
185,,16.52,
186,,18.3,
187,,17.9,
188,,19.3,
189,,11.76,
190,,18.46,
191,,13.8,
192,,11.8,
193,,18.3,
194,,20.13,
195,,15.71,
196,,21.0,
197,,19.7,
198,,15.96,
199,,12.65,
200,,9.5,
201,,14.9,
202,,16.3,
203,,16.2,
204,,17.0,
205,,14.943,
206,,15.47,
207,,28.9,
208,,26.9,
209,,16.5,
210,,20.6,
211,,15.12,
212,,20.0,
213,,22.0,
214,,14.5,
215,,22.5,
216,,20.0,
217,,16.3,
218,,14.63,
219,,18.9,
220,,34.8,
221,,11.1,
222,,11.7,
223,,20.84,
224,,31.5,
225,,19.6,
226,,22.7,
227,,23.2,
228,,29.8,
229,,19.0,
230,,15.82,
231,,17.2,
232,,19.7,
233,,22.9,
234,,17.8,
235,,17.1,
236,,17.4,
237,,17.4,
238,,14.1,
239,,15.78,
240,,15.87,
241,,22.0,
242,,16.88,
243,,15.0,
244,,16.497,
245,,13.89,
246,,14.09,
247,,13.7,
248,,14.6,
249,,16.56,
250,,18.18,
251,,17.83,
252,,12.156,
253,,18.49,
254,,22.0,
255,,21.33,
256,,19.4,
257,,15.6,
258,,18.0,
259,,21.6,
260,,18.3175,
261,,21.8,
262,,17.11,
263,,21.1,
264,,20.524,
265,,18.78,
266,,15.57,
267,,20.7,
268,,15.92,
269,,22.6,
270,,18.8,
271,,24.1,
272,,17.7,
273,,19.0,
274,,22.3,
275,,22.53,
276,,15.1,
277,,13.66,
278,,18.7,
279,,16.8,
280,,19.0,
281,,22.1,
282,,24.0,
283,,24.0,
284,,24.0,
285,,14.25,
286,,17.6,
287,,18.1,
288,,15.3,
289,,20.8,
290,,18.7,
291,,16.7,
292,,20.9,
293,,17.39,
294,,23.0,
295,,21.0,
296,,18.5,
297,,17.2,
298,,17.0,
299,,15.0,
300,,21.2,
301,,16.37,
302,,18.495,
303,,14.6,
304,,16.2,
305,,7.0,
306,,17.0,
307,,17.6,
308,,20.0,
309,,22.0,
310,,21.0,
311,,15.47,
312,,18.03,
313,,20.03,
314,,17.64,
315,,19.96,
316,,17.3,
317,,17.3,
318,,14.1,
319,,14.3,
320,,20.13,
321,,16.98,
322,,19.018,
323,,16.94,
324,,16.34,
325,,8.32,
326,,15.61,
327,,17.5,
328,,17.23,
329,,19.7,
330,,20.0,
331,,15.91,
332,,20.0,
333,,18.9,
334,,18.0,
335,,11.73,
336,,18.3,
337,,20.6,
338,,19.76,
339,,18.2,
340,,18.48,
341,,19.446,
342,,15.7,
343,,19.072,
344,,20.41,
345,,16.0,
346,,26.0,
347,,20.0,
348,,22.0,
349,,18.4,
350,,19.478,
351,,15.506,
352,,16.6,
353,,16.71,
354,,19.0,
355,,21.667,
356,,23.892,
357,,17.54,
358,,13.64,
359,,17.04,
360,,24.0,
361,,9.13,
362,,9.13,
363,,9.33,
364,,10.78,
365,,8.36,
366,,7.64,
367,,13.66,
368,,18.06,
369,,17.18,
370,,20.13,
371,,25.83,
372,,18.0,
373,,19.0,
374,,17.0,
375,,15.3,
376,,11.1,
377,,16.8,
378,,20.56,
379,,15.1,
380,,17.5,
381,,11.66,
382,,19.01,
383,,12.79,
384,,21.5,
385,,20.8,
386,,20.14,
