,noFUDR,wFUDR
0,21.9,17.5
1,14.8,20.7
2,14.5,17.23
3,16.58,24.9
4,13.0,15.59
5,17.18,13.5
6,17.05,17.0
7,22.91,21.1
8,18.4,21.7
9,19.6,18.1
10,21.699,19.2
11,18.4,19.0
12,18.98,18.2
13,18.7,17.78
14,21.48,18.9
15,20.47,17.2
16,18.98,18.1
17,15.2,17.3
18,18.0,21.5
19,20.44,13.8
20,15.08,20.56
21,18.7,21.1
22,15.0,12.3
23,17.0,20.91
24,18.0,11.58
25,15.9,19.33
26,16.2,18.0
27,19.79,17.76
28,13.31,17.8
29,16.7,19.6
30,16.7,11.4
31,14.24,16.4
32,13.2,19.2
33,15.9,19.2
34,15.9,17.6
35,15.9,19.3
36,15.9,20.1
37,18.7,14.3
38,18.3,15.1
39,17.9,14.0
40,18.3,16.8
41,19.6,19.0
42,21.5,23.2
43,16.96,29.4
44,11.02,13.0
45,18.18,15.9
46,18.736,18.4
47,10.87,14.95
48,22.1,21.32
49,16.0,17.57
50,12.0,31.6
51,10.0,12.18
52,11.85,11.0
53,10.58,15.3
54,9.05,19.6
55,7.56,13.78
56,18.59,26.9
57,28.65,27.5
58,19.5,21.0
59,19.9,13.2
60,16.4,17.4
61,16.2,16.0
62,15.8,20.41
63,14.33,14.31
64,15.0,7.3
65,24.2,14.4
66,20.7,15.4
67,18.07,22.01
68,13.6,14.3
69,12.7,18.0
70,18.02,15.0
71,13.4,20.7
72,14.4,21.9
73,15.1,14.3
74,12.7,18.64
75,14.8,18.656
76,17.0,18.3
77,15.2,17.9
78,19.5,19.3
79,17.0,13.8
80,16.6,18.3
81,16.9,21.0
82,16.6,19.7
83,12.0,15.96
84,14.8,12.65
85,15.93,16.3
86,22.0,17.0
87,23.0,14.943
88,21.3,15.47
89,16.36,28.9
90,25.0,26.9
91,18.8,20.6
92,14.28,15.12
93,14.28,20.0
94,14.28,20.0
95,20.41,16.3
96,21.44,14.63
97,18.6,18.9
98,20.85,34.8
99,19.0,20.84
100,15.0,31.5
101,12.3,29.8
102,13.5,22.0
103,21.0,16.88
104,21.6,16.497
105,16.52,13.89
106,11.76,14.09
107,18.46,13.7
108,11.8,16.56
109,9.5,18.18
110,14.9,17.83
111,16.2,12.156
112,16.5,18.78
113,22.0,18.8
114,14.5,15.1
115,22.5,17.6
116,11.1,18.1
117,11.7,18.5
118,19.6,17.0
119,22.7,16.37
120,23.2,18.495
121,19.0,16.2
122,15.82,7.0
123,17.2,17.6
124,19.7,20.0
125,22.9,22.0
126,17.8,21.0
127,17.1,18.03
128,17.4,20.03
129,17.4,17.64
130,14.1,19.96
131,15.78,17.3
132,15.87,17.3
133,15.0,16.98
134,14.6,19.018
135,18.49,16.34
136,22.0,20.0
137,21.33,18.9
138,19.4,11.73
139,15.6,18.3
140,18.0,20.6
141,21.6,19.76
142,18.3175,18.2
143,21.8,18.48
144,17.11,19.446
145,21.1,19.072
146,20.524,20.41
147,15.57,26.0
148,20.7,22.0
149,15.92,19.478
150,22.6,15.506
151,24.1,19.0
152,17.7,21.667
153,19.0,23.892
154,22.3,17.54
155,22.53,13.64
156,13.66,17.04
157,18.7,13.66
158,16.8,25.83
159,19.0,19.0
160,22.1,20.56
161,24.0,15.1
162,24.0,19.01
163,24.0,12.79
164,14.25,20.14
165,15.3,
166,20.8,
167,18.7,
168,16.7,
169,20.9,
170,17.39,
171,23.0,
172,17.2,
173,14.6,
174,17.0,
175,15.47,
176,14.1,
177,14.3,
178,20.13,
179,16.94,
180,8.32,
181,15.61,
182,17.5,
183,17.23,
184,19.7,
185,15.91,
186,20.0,
187,18.0,
188,15.7,
189,16.0,
190,20.0,
191,18.4,
192,16.6,
193,16.71,
194,24.0,
195,9.13,
196,9.13,
197,9.33,
198,10.78,
199,8.36,
200,7.64,
201,17.18,
202,20.13,
203,18.0,
204,17.0,
205,15.3,
206,11.1,
207,16.8,
208,17.5,
209,11.66,
210,21.5,
