,% Alive on Day3,% Alive on Day5,% Alive on Day10,% Alive on Day15,% Alive on Day20,% Alive on Day25,% Alive on Day30,% Alive on Day40,% Alive on Day50,Reported mean lifespan
0,100.0,100.0,95.0,45.0,5.0,0.0,0.0,0.0,0.0,15.59
1,100.0,100.0,100.0,75.0,15.0,5.0,0.0,0.0,0.0,17.3
2,100.0,95.0,90.0,80.0,50.0,25.0,10.0,0.0,0.0,21.5
3,100.0,100.0,100.0,97.0,80.0,40.0,15.0,5.0,1.0,-1.0
4,100.0,100.0,100.0,80.0,12.0,0.0,0.0,0.0,0.0,17.8
5,100.0,100.0,98.0,95.0,80.0,65.0,30.0,10.0,0.0,26.9
6,100.0,100.0,97.0,95.0,90.0,65.0,40.0,15.0,0.0,27.5
7,98.0,70.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.0
8,100.0,100.0,99.0,78.0,30.0,1.0,0.0,0.0,0.0,-1.0
9,100.0,100.0,100.0,85.0,50.0,0.0,0.0,0.0,0.0,-1.0
10,100.0,100.0,100.0,98.0,80.0,65.0,25.0,0.0,0.0,-1.0
11,100.0,100.0,95.0,85.0,50.0,20.0,0.0,0.0,0.0,17.6
12,100.0,100.0,85.0,70.0,45.0,20.0,0.0,0.0,0.0,20.0
13,100.0,100.0,90.0,80.0,55.0,15.0,0.0,0.0,0.0,22.0
14,100.0,100.0,100.0,85.0,60.0,15.0,0.0,0.0,0.0,21.0
15,98.0,98.0,90.0,25.0,0.0,0.0,0.0,0.0,0.0,-1.0
16,100.0,100.0,100.0,90.0,28.0,5.0,0.0,0.0,0.0,19.0
17,100.0,100.0,100.0,95.0,55.0,5.0,0.0,0.0,0.0,-1.0
18,100.0,100.0,100.0,83.0,30.0,7.0,0.0,0.0,0.0,-1.0
