,United States,China,Germany,Republic of Korea,Japan,Canada,India,United Kingdom,France,Israel,Spain,Brazil,Singapore,Thailand,Greece,Sweden,Denmark,Italy,The Netherlands,Austria,Turkey,Taiwan,Switzerland,Mexico,Australia,Hungary,Netherlands,Isreal,Malaysia,Chile,Russian Federation,Saudi Arabia,Belgium,South Korea,Argentina
0,21.9,15.47,18.0,12.3,28.9,19.0,16.88,15.93,17.2,19.7,15.0,11.66,21.9,14.28,22.0,19.0,17.0,19.0,14.31,21.5,,21.44,20.85,14.943,,,16.2,,15.47,,18.656,18.64,12.79,20.7,20.14
1,17.5,18.03,21.6,13.5,26.9,17.0,15.0,22.0,17.0,22.9,14.3,19.01,14.3,14.28,21.33,,17.6,15.82,25.0,20.8,,18.6,15.4,,,,17.0,,,,,,,,
2,20.7,20.03,18.3175,21.0,16.5,15.3,16.497,20.41,15.0,17.8,18.0,,,7.3,19.4,,20.0,17.2,18.8,,,14.4,22.01,,,,,,,,,,,,
3,17.23,17.64,21.8,21.6,20.6,11.1,13.89,23.0,21.2,17.1,15.0,,,14.28,15.6,,22.0,,,,,,,,,,,,,,,,,,
4,24.9,19.96,17.11,16.52,15.12,16.8,14.09,21.3,16.37,17.4,,,,14.28,,,21.0,,,,,,,,,,,,,,,,,,
5,15.59,17.3,21.1,18.3,20.0,20.56,13.7,16.36,18.495,17.4,,,,20.41,,,,,,,,,,,,,,,,,,,,,
6,14.8,17.3,20.524,17.9,22.0,15.1,14.6,,14.6,14.1,,,,,,,,,,,,,,,,,,,,,,,,,
7,14.5,14.1,18.78,19.3,14.5,17.5,16.56,,16.2,15.78,,,,,,,,,,,,,,,,,,,,,,,,,
8,13.5,14.3,15.57,11.76,22.5,,18.18,,7.0,15.87,,,,,,,,,,,,,,,,,,,,,,,,,
9,16.58,20.13,20.7,18.46,20.0,,17.83,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,13.0,16.98,15.92,13.8,16.3,,12.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17.0,19.018,22.6,11.8,14.63,,18.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17.18,16.94,18.8,18.3,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21.1,16.34,24.1,20.13,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,21.7,8.32,17.7,15.71,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,17.05,15.61,19.0,21.0,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22.91,17.5,22.3,19.7,20.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.1,17.23,22.53,15.96,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18.4,19.7,15.1,12.65,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19.6,20.0,13.66,9.5,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19.2,15.91,18.7,14.9,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.699,20.0,16.8,16.3,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19.0,18.9,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18.2,18.0,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,18.4,11.73,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,18.98,18.3,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,17.78,20.6,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,18.7,19.76,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,18.9,18.2,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,17.2,18.48,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,18.1,19.446,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,21.48,15.7,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,20.47,19.072,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,18.98,20.41,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15.2,16.0,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,18.0,26.0,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20.44,20.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,15.08,22.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,18.7,18.4,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,15.0,19.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,17.3,15.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,21.5,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,17.0,16.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,18.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,13.8,21.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,15.9,23.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,16.2,17.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,19.79,13.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,13.31,17.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,16.7,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,16.7,9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,14.24,9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,13.2,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20.56,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,21.1,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,12.3,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,12.4,13.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,15.9,18.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,15.9,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,15.9,20.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,15.9,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,26.1,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,19.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,16.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,11.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,18.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,18.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
